"Name","Id","Rarity","Description"
"Rush the Dog","7d9ab156-b262-4bc8-a274-3d42292d46f5",3,"Loyal canine sidekick that can boost a hero's spirit."
"Biggs","ee05f5d4-0fa1-4435-9408-74c18435c858",1,"Red Wing soldier that bolsters your confidence."
"Biggs","651296d7-de63-4b59-ba9f-e0bbfc40c531",1,"Red Wing soldier that bolsters your confidence."
"Da Da Da Da Daaa Da DAA da da","81de93ab-51c7-4a0b-836f-b05b8718e290",2,"The victory song that delivers a sweet reward."
"Red Shell","51c6c1eb-3c70-428f-bdeb-98a4f10e98d2",1,"Toss ahead of you to unsuspecting victim."
"Portal Nun","200c4a5b-43b6-473c-9815-57865a4a7e93",3,"The Jonathan Dexter Legacy."
"Hard Knuckle","63eb7b06-a954-472a-8e05-170aa34e03ec",2,"Mega Man face punch."
"Tanooki Suit","e477f1e5-6f82-4476-b786-408970431ca0",2,"Adorable suit that provides temporary protection from attacks."
"Fus Ro Dah","96766a0f-bb49-434a-b942-c69c5b45f964",3,"Dragon shout that silences the target."
"Wedge","aba29651-c9fe-4308-bbee-6c69b7665abc",1,"Red Wing soldier that bolsters your confidence."
"Mushroom","dea648fb-3ce6-4fd6-88ad-04aae1b0a3dd",1,"Maybe edible mushroom."
"Pizza","0fa3eba3-1d9b-452b-919f-7ea0171d1370",1,"Michelangelo's favorite food, dude."
"Mushroom","8c775966-575a-4685-8151-960898652247",1,"Maybe edible mushroom."
"Star","72bdd46f-bbbc-4de2-849d-a6f3b1795c1b",3,"A celestial object that creates temporary invincibility."
"Mushroom","2f32d9ff-1a5f-4850-b084-869979f52f35",1,"Maybe edible mushroom."
"Fire Flower","152fa3b3-41ea-40c1-930d-45aa602a7c08",1,"Throw balls of actual fire. Literally."
"Mushroom","2ca2f75f-d934-42fd-a535-8468f6a97539",1,"Maybe edible mushroom."
"Gold Ring","d1b1961a-5feb-4617-b7d5-8693b66c16f1",2,"Shiny ring that provides temporary protection from damage."
"Morger Beard","b329a123-7514-4e60-b8e6-22c532966a72",3,"A protective beard that is flowing and majestic."
"Pizza","07a0dad1-a09b-4891-8a99-c8917a338829",1,"Michelangelo's favorite food, dude."
"Varia Suit","b2472301-8d06-468c-95bc-452fad96ebad",3,"Sleek pant suit offering significant protection from foes."
"Warthog","120d95dc-ab9f-46c6-a948-4b8691e8a578",2,"Recon vehicle that temporarily increases speed."
"Red Crystal","6cf00ceb-cabb-4fcd-9125-a254568544f9",3,"You have the power of tornadoes! Take that Deborah Cliff."
"Box of Bees","31ce7645-a4b7-4cdc-95fa-b7910b378c03",3,"The Brian Bell Legacy."
"Charizard","55a4f224-2cc7-40d8-887f-71b9718e8831",2,"It's hard to be a diamond in a rhinestone world."
"Da Da Da Da Daaa Da DAA da da","d7703c69-0d98-4ba4-80dd-576115686d6f",2,"The victory song that delivers a sweet reward."
"Hadouken","e07d4e74-f122-425e-87b9-4800fd5949f4",2,"Burst of energy that pulses through the target and results in temporary after shocks."
"Charizard","600da66f-66d1-4376-a019-865729984976",2,"It's hard to be a diamond in a rhinestone world."
"UUDDLRLRBA","7e821983-d193-485e-9627-8f1ff5e63b37",1,"Konami Code always gives a nice boost."
"Buffalo","1a4cd3ba-d842-4b79-98f6-beb3bf5fbf47",2,"Absolutely not dying from dysentery today!"
"Charizard","7176f82b-9ff9-4a5c-8963-8699051125d7",2,"It's hard to be a diamond in a rhinestone world."
"Morger Beard","d01bd831-4a0b-4dc0-8007-ae71f74a36ad",3,"A protective beard that is flowing and majestic."
"Miniature Giant Space Hamster","9eff3402-8465-47ec-9e44-e4aeb16a4732",3,"Boo is always judging!"
"Tanooki Suit","8ff66c59-d5d7-4853-a249-33e58aef45b6",2,"Adorable suit that provides temporary protection from attacks."
"Fire Flower","635ca4e4-990e-402a-810e-aab029d8410b",1,"Throw balls of actual fire. Literally."
"Tanooki Suit","34315eca-7fd5-46d9-b4a5-d970910b7b94",2,"Adorable suit that provides temporary protection from attacks."
"Cardboard Box","1ff8ddd7-3d32-497e-9b5f-0c5d99a88cc1",2,"Shhh. You can't see me."
"Pizza","7d45189c-c4ea-42e6-adfe-b196c39f3e19",1,"Michelangelo's favorite food, dude."
"Charizard","d6cc093d-12cb-4afc-a3f2-d33b8cf39158",2,"It's hard to be a diamond in a rhinestone world."
"Hadouken","76326ffb-4c77-403b-9dc5-23cca067f6d1",2,"Burst of energy that pulses through the target and results in temporary after shocks."
"Banana Peel","fc2e46a5-caed-453c-ad9e-1fcb3227bf1c",1,"Person behind you 50% chance -100 points"
"Gold Ring","b39c1665-2db4-44c9-8f99-2fe3a4d2d7ca",2,"Shiny ring that provides temporary protection from damage."
"Treasure Chest","82a273d4-b387-41f9-bdc3-6edd6232e9e9",3,"Bountiful treasure chest containing three new items."
"Treasure Chest","e46717b9-3e54-4037-923d-4e9db46f3979",3,"Bountiful treasure chest containing three new items."
"Bo Jackson","944a3944-5dce-49b7-8145-9f77f5401112",1,"TOUCHDOWN!"
"Get Over Here","1095e6fa-5f95-4586-8f0c-2dd6f5c8b8cc",3,"Chance to cuddle up to your opponent. Serious snuggles."
"Power Pellet: Pinky","7e066f73-39fc-452f-b0d6-99e4c6a6ba50",4,"Round object created for the sole purpose of trolling."
"Chocobo","2bd4beeb-2ddf-48fb-a7c2-21f029f15547",3,"You are a master breeder! Gold chocobos bow at your feet."
"Fus Ro Dah","85810301-95d1-4db9-b478-142af54170ae",3,"Dragon shout that silences the target."
"UUDDLRLRBA","9489128f-0c34-4f05-82a5-19d743c4f476",1,"Konami Code always gives a nice boost."
"Holy Water","a84ad315-ef3e-4482-948a-d54691c2802a",2,"Throw at the floor to release temporary holy flames."
"Red Crystal","e0596b63-41b3-4f6c-9bbf-5d82c92d523d",3,"You have the power of tornadoes! Take that Deborah Cliff."
"Charizard","beeb83d6-581b-41df-a961-d85d150c5119",2,"It's hard to be a diamond in a rhinestone world."
"Moogle","12f6bd3a-f762-4d3b-a322-da00d01a96bd",2,"Kupo! Your luck is temporarily increased."
"Leisure Suit","f228f719-2cef-4ae9-9be4-7027995d5811",3,"""Winning this game is about as easy as holding onto a mud wrestler!"""
"Biggs","c506ccaa-cfe6-4fa9-80ec-a53445d64919",1,"Red Wing soldier that bolsters your confidence."
"Fus Ro Dah","1f90c603-c271-4263-9592-bef2fd35bdf0",3,"Dragon shout that silences the target."
"Crowbar","0488f861-8657-4662-bf89-b75171ca07a2",1,"Gordon Freeman's weapon of choice."
"Warthog","1e87675e-d026-4a14-83aa-ed1999004894",2,"Recon vehicle that temporarily increases speed."
"Red Shell","fc64c03d-86cf-496f-94f4-8868ef416a38",1,"Toss ahead of you to unsuspecting victim."
"Crowbar","a01cedef-287f-4240-be75-a3e282436df3",1,"Gordon Freeman's weapon of choice."
"Red Shell","20729edb-a95c-4fbe-bd30-874d91744966",1,"Toss ahead of you to unsuspecting victim."
"Holy Water","681c3de0-9729-4794-be2b-6649662208d2",2,"Throw at the floor to release temporary holy flames."
"Moogle","cfbec5ea-204c-4027-b543-eeab1609bbdb",2,"Kupo! Your luck is temporarily increased."
"Mushroom","f571aebd-67c1-434e-8f1e-e3f181990eab",1,"Maybe edible mushroom."
"Da Da Da Da Daaa Da DAA da da","55552a13-cea9-462a-8ccb-37a98e899bad",2,"The victory song that delivers a sweet reward."
"Mushroom","e95bb75f-811f-4bb8-a8b5-9f14d7dcf3dd",1,"Maybe edible mushroom."
"Red Shell","b137c270-7df2-4584-b734-0a96998f7366",1,"Toss ahead of you to unsuspecting victim."
"Wedge","9aa7a295-7b32-43e6-9765-beacfadaeb60",1,"Red Wing soldier that bolsters your confidence."
"Warthog","e4721c63-c767-4e9e-b741-ac198c84d99d",2,"Recon vehicle that temporarily increases speed."
"Holy Water","a012d297-c894-41c0-a5eb-92b6db741401",2,"Throw at the floor to release temporary holy flames."
"Tanooki Suit","de19eec0-6fb0-48eb-93b8-622de3de8502",2,"Adorable suit that provides temporary protection from attacks."
"Carbuncle","0ba029ce-3f91-4a23-bf1c-178ca3297bf9",3,"Fairy creature that uses its red eye to temporarily reflect harm."
"Warthog","7317b4bf-de54-4630-b73a-c9938ccd56bf",2,"Recon vehicle that temporarily increases speed."
"Red Crystal","5413e683-51c2-4d57-85f8-9bbd67f39df9",3,"You have the power of tornadoes! Take that Deborah Cliff."
"Da Da Da Da Daaa Da DAA da da","f90699b3-7c88-4ea3-a53b-892cb2b15bb2",2,"The victory song that delivers a sweet reward."
"Da Da Da Da Daaa Da DAA da da","5ddbc5c2-4764-496f-8092-ac059094ddcc",2,"The victory song that delivers a sweet reward."
"Leeroy Jenkins","92b9bcd9-6e3b-4399-9534-22fabd04d2cd",3,"Absolutely pathetic battle cry."
"Buffalo","fe93823d-cc72-4d13-9e14-a36b8a7a060a",2,"Absolutely not dying from dysentery today!"
"Tanooki Suit","21008c1e-c221-4c60-b939-a981a6a48b73",2,"Adorable suit that provides temporary protection from attacks."
"Moogle","29c40a2c-1423-4256-9824-40b8610a33e0",2,"Kupo! Your luck is temporarily increased."
"Biggs","35db15e6-3fd7-4044-80b5-00b296c71fa6",1,"Red Wing soldier that bolsters your confidence."
"Da Da Da Da Daaa Da DAA da da","8674365d-f084-4ed5-9f85-0051bf32166b",2,"The victory song that delivers a sweet reward."
"Portal Nun","64578ee5-f44a-4aa6-bf54-3067a97ec816",3,"The Jonathan Dexter Legacy."
"Leisure Suit","fe645b88-f2ca-4324-b74a-4d1a46c67500",3,"""Winning this game is about as easy as holding onto a mud wrestler!"""
"Da Da Da Da Daaa Da DAA da da","abb20296-56f1-4451-a0f2-b5e9ebd65ac7",2,"The victory song that delivers a sweet reward."
"Pokeball","ea6d4451-9dcd-41ca-b431-a6b454829df6",2,"Gotta catch 'em all!"
"Bullet Bill","174697d2-4cf9-4204-8687-f9190362db90",3,"Catapult ahead of the competition."
"Biggs","34ea2b3d-575e-4ea8-ab13-a9baf63ed94c",1,"Red Wing soldier that bolsters your confidence."
"Rush the Dog","def03f0a-6eef-4679-b97e-6c85b0794218",3,"Loyal canine sidekick that can boost a hero's spirit."
"Treasure Chest","7fbbf59a-27d1-4077-a918-d1d913e75937",3,"Bountiful treasure chest containing three new items."
"Charizard","ee59f236-e021-4b68-90ed-698947819535",2,"It's hard to be a diamond in a rhinestone world."
"Pokeball","6f4fc066-dfd9-4634-b61a-69641289308a",2,"Gotta catch 'em all!"
"Gold Ring","ee1a3629-0573-4faf-8cc2-dfabf97572f3",2,"Shiny ring that provides temporary protection from damage."
"Red Shell","b29adfe6-9f96-4c9f-945f-ebbe982c4fce",1,"Toss ahead of you to unsuspecting victim."
"Cardboard Box","d9dd8b7a-f424-46ec-8a14-cf3090ec465c",2,"Shhh. You can't see me."
"Red Shell","25554e48-6299-46c7-a5cf-d03f63b3b787",1,"Toss ahead of you to unsuspecting victim."
"Fire Flower","7582051c-c85c-45cc-8b1b-f0a96ac1286a",1,"Throw balls of actual fire. Literally."
"Tanooki Suit","2375aca4-f82d-4e4e-a0f2-4c4fc8df7589",2,"Adorable suit that provides temporary protection from attacks."
"Gold Ring","2c3ef10c-2d96-4fa9-9364-ba96ebd3d862",2,"Shiny ring that provides temporary protection from damage."
"Green Shell","25b44160-2729-43b7-bab1-7db9c032924f",1,"Throw at opponent to deliver a good thump on the head."
"Moogle","2f73ff76-9b04-4c07-893a-64ba221900c7",2,"Kupo! Your luck is temporarily increased."
"Buffalo","af4846cb-ac35-4ece-a334-2003e306ec3b",2,"Absolutely not dying from dysentery today!"
"Tanooki Suit","4de3183b-347b-431b-8e11-a175f99f5925",2,"Adorable suit that provides temporary protection from attacks."
"Hadouken","cce06472-f381-4fd6-bf5f-750f5f7c876d",2,"Burst of energy that pulses through the target and results in temporary after shocks."
"7777","c4e933bb-1d5d-4fcd-aa7d-5593653d28ff",3,"All Lucky 7s!"
"Pizza","4e377ac1-2d97-455b-8e78-120af9db0bbe",1,"Michelangelo's favorite food, dude."
"Red Crystal","8b853c81-d783-4f2f-bc30-4ee7da365d97",3,"You have the power of tornadoes! Take that Deborah Cliff."
"Pizza","0ea0c699-32a1-43a1-a056-ac16ee1a53f8",1,"Michelangelo's favorite food, dude."
"Cardboard Box","1d505485-2ca8-468a-8198-3ccba68693a6",2,"Shhh. You can't see me."
"Mushroom","d04114e4-951d-48ac-a1df-abd15c249a0e",1,"Maybe edible mushroom."
"Miniature Giant Space Hamster","e3ebbdfe-7a3a-45dd-9c8e-bc852b97e92e",3,"Boo is always judging!"
"Moogle","71e3aac6-ae63-4b0e-bf2f-ca94747aa55f",2,"Kupo! Your luck is temporarily increased."
"NES Controller","2b3d512b-5795-4978-8b7a-b96bc97ec49a",4,"You are a gamer for life!"
"Tanooki Suit","a46090d0-db2e-4ba2-a61c-9d6689ca0e26",2,"Adorable suit that provides temporary protection from attacks."
"Treasure Chest","72b8a2e8-7f7a-48c4-adcc-9196edaa3f80",3,"Bountiful treasure chest containing three new items."
"Hadouken","573e1eb9-910e-4984-b8a4-d334dee223a7",2,"Burst of energy that pulses through the target and results in temporary after shocks."
"Varia Suit","2bb28ebb-a276-4ba9-9249-7d5c90422ef5",3,"Sleek pant suit offering significant protection from foes."
"Da Da Da Da Daaa Da DAA da da","bd9c1cc1-521f-4a55-bab8-79a3b825ca9d",2,"The victory song that delivers a sweet reward."
"Biggs","3e74ca4d-04e0-4488-bf2e-f8dd5dc2befa",1,"Red Wing soldier that bolsters your confidence."
"Bo Jackson","3d52f5e3-8ce4-425f-be6f-abba0e45c970",1,"TOUCHDOWN!"
"Mushroom","9e7f7c6f-8dfc-4394-bfbb-1fe2073ccec7",1,"Maybe edible mushroom."
"Bullet Bill","f35471c5-8cf5-4dca-a6c9-c4edda969509",3,"Catapult ahead of the competition."
"Pizza","7c511950-eff1-4e46-8708-6894735e055e",1,"Michelangelo's favorite food, dude."
"Charizard","189feb7e-f2cd-41dd-8083-2874e3addc1d",2,"It's hard to be a diamond in a rhinestone world."
"Red Shell","d6c691d3-1fca-4a2e-a30f-f63cf613aa64",1,"Toss ahead of you to unsuspecting victim."
"Charizard","db8b1c4d-4e86-4cb6-a777-a9405471add2",2,"It's hard to be a diamond in a rhinestone world."
"Buffalo","0792580a-bd16-4014-b60f-1dab41da3772",2,"Absolutely not dying from dysentery today!"
"Hadouken","16ccb41e-51d7-467f-b415-8b0ea8253516",2,"Burst of energy that pulses through the target and results in temporary after shocks."
"Moogle","d00cbb19-46d6-4b2c-9293-5e9654f0dfc3",2,"Kupo! Your luck is temporarily increased."
"Holy Water","f060ef90-727a-4a71-b916-3a9eaa88cc72",2,"Throw at the floor to release temporary holy flames."
"Fire Flower","9b81d0b5-828f-4345-9c0e-0768a39e9f38",1,"Throw balls of actual fire. Literally."
"UUDDLRLRBA","5c52bc15-faa5-4256-a491-918c074f95b3",1,"Konami Code always gives a nice boost."
"Biggs","c5d31017-3b6e-4faf-8b02-a95867534a98",1,"Red Wing soldier that bolsters your confidence."
"Charizard","f1d9fa7b-13e4-4c83-ad51-065cefeadab1",2,"It's hard to be a diamond in a rhinestone world."
"Bo Jackson","6a9e8024-1d5f-4ad9-9a9b-3e2755ad26a8",1,"TOUCHDOWN!"
"Da Da Da Da Daaa Da DAA da da","c0caaf2b-6edd-4820-91d4-c0091e0f807c",2,"The victory song that delivers a sweet reward."
"Buffalo","f10e633b-e6bb-48ea-98ba-135a616512d4",2,"Absolutely not dying from dysentery today!"
"Warthog","164de726-d8fa-4df2-94ef-30735281559f",2,"Recon vehicle that temporarily increases speed."
"Mushroom","2bc209fe-ac5a-4942-81d6-ff09e763b441",1,"Maybe edible mushroom."
"Tanooki Suit","3edba11b-3321-4e09-a996-e3ec4a505a83",2,"Adorable suit that provides temporary protection from attacks."
"Buster Sword","a60d98cb-db70-4be3-a51c-9a11f53b604d",3,"Save Aeris!! ... too soon?"
"Blue Shell","3621da68-614a-4996-a017-c668c2444f2b",3,"Mighty Koopa shell that displaces the leader of the pack."
"Mushroom","d54cda04-b00f-4d6d-86fc-8372aac9d213",1,"Maybe edible mushroom."
"Warthog","6b636b3f-87af-425a-b605-8808b2161325",2,"Recon vehicle that temporarily increases speed."
"Fus Ro Dah","cc9dffe9-ede7-4ae3-8bd8-4e07af492bff",3,"Dragon shout that silences the target."
"Gold Ring","753452f9-e704-4a35-87ac-627a3d6e03b6",2,"Shiny ring that provides temporary protection from damage."
"Da Da Da Da Daaa Da DAA da da","4338eb08-ecea-407b-92fe-7a72bdab2046",2,"The victory song that delivers a sweet reward."
"Moogle","48e4be84-eea2-4866-8780-cea227cdc84d",2,"Kupo! Your luck is temporarily increased."
"Rail Gun","62738987-0821-449e-b4d4-27ef2a9b3f09",3,"Fires depleted uranium slugs at high velocity."
"Box of Bees","28c88554-9fd6-4b23-baaf-79b91a89502e",3,"The Brian Bell Legacy."
"Chocobo","0697174e-b4a9-40d7-923b-c2202725f177",3,"You are a master breeder! Gold chocobos bow at your feet."
"Fus Ro Dah","7bd1b7fb-c0bb-4cdd-8a86-733434a56392",3,"Dragon shout that silences the target."
"Buffalo","4bb68d96-deab-4739-8bc6-18c9659768b8",2,"Absolutely not dying from dysentery today!"
"Cardboard Box","a6cc75b5-0432-4543-b582-81463d0dde21",2,"Shhh. You can't see me."
"7777","3d436ad0-af6d-4679-b6e8-94cea809d117",3,"All Lucky 7s!"
"Moogle","dd04c7c0-33cc-4972-8616-652108c8f6a0",2,"Kupo! Your luck is temporarily increased."
"Pokeball","c1e6b7c2-282e-4374-b3e4-54b3b6961c3f",2,"Gotta catch 'em all!"
"Buster Sword","c4d54675-069d-42b3-9e64-704f79ffee5a",3,"Save Aeris!! ... too soon?"
"Master Sword","27a32a96-72fb-401b-a1a5-308cf4bfaa16",3,"It's dangerous to go alone!"
"Cardboard Box","6f1f8df9-af95-4565-9982-0bfce1b36644",2,"Shhh. You can't see me."
"Fat Guys","ea5f269c-cee6-4ede-ad03-73f9463e11f2",3,"You may be slow, but you're solid!"
"Carbuncle","c189690d-14d6-40aa-8341-58ff034959e6",3,"Fairy creature that uses its red eye to temporarily reflect harm."
"Buffalo","1da65608-20f3-47af-8107-a3dc2b9beee8",2,"Absolutely not dying from dysentery today!"
"Crowbar","5cab1156-50fc-4b3f-9134-cfc36e50eac4",1,"Gordon Freeman's weapon of choice."
"Moogle","e3486cce-47b6-4303-8d19-c73e6faa675a",2,"Kupo! Your luck is temporarily increased."
"Buffalo","68fe6310-1060-454a-b54b-c640856cbe11",2,"Absolutely not dying from dysentery today!"
"Hard Knuckle","f9c361e4-8e01-46a3-8934-314bdddfbaad",2,"Mega Man face punch."
"Green Shell","1e974eb5-b812-438d-9696-e139ea620a11",1,"Throw at opponent to deliver a good thump on the head."
"Buffalo","463531c1-be31-41e6-b0e6-cf9950343c4e",2,"Absolutely not dying from dysentery today!"
"Pony","30c6cbc9-3f6f-47da-a2ec-40f95139cc8e",3,"You are a casual gaming princess! Now harvest those crops, your majesty."
"Holy Water","ab82676f-7466-44c2-97fc-e0827e7beeb2",2,"Throw at the floor to release temporary holy flames."
"Charizard","43e6914a-7bfb-42d5-8a01-e40758828290",2,"It's hard to be a diamond in a rhinestone world."
"Red Shell","39f4ad0b-7b33-45cd-8b5e-f5a626732069",1,"Toss ahead of you to unsuspecting victim."
"Bo Jackson","4c32d4bd-05bd-4a54-9b8b-ba4d3b415c20",1,"TOUCHDOWN!"
"Chocobo","5ccce2ec-e321-40fb-8760-488f2b7d2ba0",3,"You are a master breeder! Gold chocobos bow at your feet."
"SPNKR","02e66c7c-5fa1-472a-966c-f5b6242383e1",3,"Heavy weapon that has questionable aim."
"Tanooki Suit","3a4a246a-3594-488c-b142-60564cd6576b",2,"Adorable suit that provides temporary protection from attacks."
"Mushroom","2bc9725a-d90b-45ee-a402-3baca1bc518d",1,"Maybe edible mushroom."
"Moogle","d01c6eee-bd5d-4bb2-a418-110882f9e013",2,"Kupo! Your luck is temporarily increased."
"Biggs","c8002937-9392-4e0f-b238-e2e1cc43b153",1,"Red Wing soldier that bolsters your confidence."
"Hadouken","98698af7-a6d8-4ff3-9c2f-889105cd54cc",2,"Burst of energy that pulses through the target and results in temporary after shocks."
"Leeroy Jenkins","b71e2862-59ab-4985-a523-573210888d37",3,"Absolutely pathetic battle cry."
"Moogle","2890f6c6-d9a7-4cbc-8d4f-8719a440ae0c",2,"Kupo! Your luck is temporarily increased."
"Star","8eee026c-e610-406a-958f-b17af786d858",3,"A celestial object that creates temporary invincibility."
"Leeroy Jenkins","9de969f7-ab1a-4d0d-94bf-3d2d3dacc5b3",3,"Absolutely pathetic battle cry."
"Pokeball","63d50fd8-8b76-4e88-88c1-85bc19356858",2,"Gotta catch 'em all!"
"Crowbar","347240dd-0762-4bda-959f-80cc89507878",1,"Gordon Freeman's weapon of choice."
"Gold Ring","e8f21418-aedc-48ed-8e19-61b40d292d8e",2,"Shiny ring that provides temporary protection from damage."
"Mushroom","956186c1-c6a3-4c62-a316-47ccf69de570",1,"Maybe edible mushroom."
"Hard Knuckle","bb979cea-b9aa-417d-a1b6-ceaef4f030d3",2,"Mega Man face punch."
"Morph Ball","9a007475-e4f6-46ec-8863-27f7ddad3152",3,"Transform into a sphere that passes two players."
"Fire Flower","01454e76-574e-4d42-a7b3-e845035d42aa",1,"Throw balls of actual fire. Literally."
"Biggs","478336c8-ac00-4e7f-a264-92cf9f7d9bcd",1,"Red Wing soldier that bolsters your confidence."
"Charizard","aee64771-1007-493b-b523-b2d71b067500",2,"It's hard to be a diamond in a rhinestone world."
"Crowbar","ab8285c1-b5dd-40d6-aed0-9ffd7c6eb5da",1,"Gordon Freeman's weapon of choice."
"Pizza","3585312f-eb14-4244-9550-4b4071655d42",1,"Michelangelo's favorite food, dude."
"Crowbar","a50642cb-c695-4782-a67a-ea548fe1278a",1,"Gordon Freeman's weapon of choice."
"Bo Jackson","d5960777-3d5f-427a-94a2-6432ca9c6f4e",1,"TOUCHDOWN!"
"Tanooki Suit","e41b4c69-86b8-4f81-b78a-9d8b6f972cb9",2,"Adorable suit that provides temporary protection from attacks."
"Moogle","9ba7e403-9a92-473f-a87a-e8d64fb57bb2",2,"Kupo! Your luck is temporarily increased."
"Fire Flower","bf7acf00-dc50-471d-bc9f-4b0a7ffadebc",1,"Throw balls of actual fire. Literally."
"Red Shell","71aea34f-a4ab-413e-b974-ffdc771e8b2a",1,"Toss ahead of you to unsuspecting victim."
"Red Shell","c4764c1b-418a-4e64-bbb8-c78c0747786e",1,"Toss ahead of you to unsuspecting victim."
"Da Da Da Da Daaa Da DAA da da","3427f9da-a4ea-4c68-8303-f481d195a566",2,"The victory song that delivers a sweet reward."
"Hard Knuckle","3af8b763-c186-4559-8a05-0ede0648e76c",2,"Mega Man face punch."
"Crowbar","453e8a00-8453-4cb8-a914-216049d3be11",1,"Gordon Freeman's weapon of choice."
"Hadouken","c1423579-ba24-4172-9df1-7a59eb6dbc2f",2,"Burst of energy that pulses through the target and results in temporary after shocks."
"Buffalo","785281f7-d7fd-41ff-94d2-72e83b20c0cf",2,"Absolutely not dying from dysentery today!"
"Moogle","5d56f947-ddcb-4e4d-ae29-549e271d33a0",2,"Kupo! Your luck is temporarily increased."
"Buffalo","36ef30ab-00f2-427a-8566-541c9291db27",2,"Absolutely not dying from dysentery today!"
"Pizza","1d31984e-884e-4230-aed3-fe9fda8d06d2",1,"Michelangelo's favorite food, dude."
"Pokeball","da66cbcf-3648-4143-96b6-bdd9bcb1d647",2,"Gotta catch 'em all!"
"Crowbar","d52cc621-6356-4cc8-bdf4-e20dc41c5fc4",1,"Gordon Freeman's weapon of choice."
"Holy Water","462e97d7-bce6-4cdc-9f4f-360f6fdbf080",2,"Throw at the floor to release temporary holy flames."
"Biggs","c0847637-4893-4f59-a003-8799cfc061c5",1,"Red Wing soldier that bolsters your confidence."
"Leisure Suit","b4f0b052-deb3-42d6-8dca-939903b5aa15",3,"""Winning this game is about as easy as holding onto a mud wrestler!"""
"Charizard","e1cbf141-8e75-4f62-be3a-1de50e860e00",2,"It's hard to be a diamond in a rhinestone world."
"Moogle","962edcdf-6200-4393-8f62-6bceea56b3ce",2,"Kupo! Your luck is temporarily increased."
"Moogle","8b816a2b-4561-4ec3-8c4c-bd8e9eec0fba",2,"Kupo! Your luck is temporarily increased."
"Box of Bees","64ad2d13-cafb-46d9-8cda-68d648637d31",3,"The Brian Bell Legacy."
"Cardboard Box","7ad43c51-b328-4653-830d-88e0fdd777d3",2,"Shhh. You can't see me."
"Hard Knuckle","bcc363de-a6f7-4b72-a8aa-713642fe4556",2,"Mega Man face punch."
"Holy Water","deff1c95-89a1-452b-9790-c5a6b5622a81",2,"Throw at the floor to release temporary holy flames."
"Pony","0018c193-d5e8-4391-b95e-ebb3dd0333e7",3,"You are a casual gaming princess! Now harvest those crops, your majesty."
"Star","f34873de-1d4c-422d-a6b9-3065d34f3fcc",3,"A celestial object that creates temporary invincibility."
"Warthog","08b7806e-fcac-4a18-b23e-4ec996f61187",2,"Recon vehicle that temporarily increases speed."
"Carbuncle","96ac468f-7660-4ae2-9f31-d8050a269d17",3,"Fairy creature that uses its red eye to temporarily reflect harm."
"Pokeball","dc0ecabd-ef6b-4b3a-ab4e-0559629a864f",2,"Gotta catch 'em all!"
"Bo Jackson","9f462cb5-6a37-4b0b-bba0-5a5fb8586f13",1,"TOUCHDOWN!"
"Hadouken","d9e5ebee-5af0-4166-95b9-573b5f570888",2,"Burst of energy that pulses through the target and results in temporary after shocks."
"Varia Suit","233f5e4f-a48e-4193-9c96-ff0932c306ee",3,"Sleek pant suit offering significant protection from foes."
"Warthog","963916e9-9b68-4747-a5c2-ff3821d6a7a4",2,"Recon vehicle that temporarily increases speed."
"Gold Ring","e1d0c5d5-f09a-4d61-bfc1-88b10c6b4528",2,"Shiny ring that provides temporary protection from damage."
"Treasure Chest","faf96e67-f8ce-4f07-9407-9c6aecc97d8a",3,"Bountiful treasure chest containing three new items."
"Master Sword","28158b5b-54e1-41e8-b0ac-e1f51cf4a3a8",3,"It's dangerous to go alone!"
"Gold Ring","80270b8f-7bd0-49f3-b2f4-8d64b56397c2",2,"Shiny ring that provides temporary protection from damage."
"7777","c1c33780-0f75-4ebd-bf28-2eb84ec51793",3,"All Lucky 7s!"
